,Date,Volume,Open,High,Low,Close,pred
635,2021-03-15,1160000000.0,3057.06,3065.17,3036.14,3045.71,3058.2015718729026
637,2021-03-17,814990000.0,3067.76,3069.57,3027.2,3047.5,3069.280732514331
639,2021-03-19,1070000000.0,3063.01,3063.01,3022.49,3039.53,3086.4087122419123
642,2021-03-24,978430000.0,2996.32,3006.54,2971.04,2996.35,3029.6261033441187
644,2021-03-26,1040000000.0,3012.79,3041.86,3012.79,3041.01,3015.53816676201
648,2021-04-01,922680000.0,3073.77,3090.88,3069.68,3087.4,3082.607964390775
653,2021-04-08,1360000000.0,3137.25,3145.81,3122.09,3143.26,3141.6950408518396
655,2021-04-12,1050000000.0,3134.88,3147.27,3127.91,3135.59,3138.9278635581495
656,2021-04-13,1740000000.0,3138.21,3173.26,3136.99,3169.08,3140.8098264834016
659,2021-04-16,985280000.0,3194.08,3206.76,3185.67,3198.62,3200.7215650251233
661,2021-04-20,1300000000.0,3198.31,3220.82,3195.96,3220.7,3207.310182878889
662,2021-04-21,1770000000.0,3214.24,3214.24,3165.49,3171.66,3216.7379097529197
663,2021-04-22,1750000000.0,3174.52,3196.97,3174.52,3177.52,3177.078777272171
664,2021-04-23,2250000000.0,3173.47,3188.7,3146.54,3186.1,3194.721402624164
668,2021-04-29,1220000000.0,3184.75,3200.41,3161.06,3174.07,3188.456451671803
669,2021-04-30,1360000000.0,3176.43,3179.43,3143.38,3147.86,3180.689980658739
670,2021-05-03,1040000000.0,3149.05,3174.26,3120.7,3127.2,3153.9953238540525
671,2021-05-04,1280000000.0,3131.39,3147.38,3109.78,3147.37,3149.816284335312
674,2021-05-10,1010000000.0,3201.46,3255.9,3201.46,3249.3,3202.476465932302
675,2021-05-11,1100000000.0,3239.92,3239.92,3192.25,3209.43,3249.854762036197
677,2021-05-13,1100000000.0,3146.97,3161.93,3103.88,3122.11,3157.8572163481417
680,2021-05-18,786140000.0,3135.38,3176.4,3135.38,3173.05,3139.9408286813714
683,2021-05-24,587970000.0,3155.91,3163.27,3137.81,3144.3,3177.9989659585885
686,2021-05-27,1080000000.0,3170.84,3173.86,3142.37,3165.51,3173.9830032871073
688,2021-05-31,1120000000.0,3192.06,3204.29,3179.87,3203.92,3195.7119907916203
691,2021-06-03,1580000000.0,3224.96,3258.5,3224.96,3247.43,3233.1000777708164
692,2021-06-04,1390000000.0,3246.17,3246.19,3218.67,3240.08,3254.939708371179
694,2021-06-08,1950000000.0,3251.83,3264.67,3242.56,3247.83,3253.851271416477
695,2021-06-09,1960000000.0,3245.08,3246.49,3216.18,3216.18,3256.421550425348
696,2021-06-10,1900000000.0,3216.94,3235.39,3210.31,3224.64,3224.4644442307654
697,2021-06-11,1650000000.0,3226.98,3251.58,3226.98,3249.32,3228.51146982231
701,2021-06-17,1850000000.0,3276.2,3276.2,3251.32,3264.96,3277.849415549332
703,2021-06-21,1510000000.0,3264.18,3264.18,3225.56,3240.79,3272.5793080274716
708,2021-06-28,1430000000.0,3305.46,3311.69,3291.3,3301.89,3313.2903285573047
711,2021-07-01,1160000000.0,3297.92,3300.12,3278.1,3282.06,3304.110406098463
712,2021-07-02,1020000000.0,3282.81,3295.68,3278.19,3281.78,3284.9694486802805
713,2021-07-05,850410000.0,3285.29,3298.93,3285.29,3293.21,3290.9774550014704
714,2021-07-06,1030000000.0,3295.44,3313.51,3295.44,3305.21,3297.690121396206
715,2021-07-07,1150000000.0,3303.59,3303.59,3277.66,3285.34,3311.7549477756756
717,2021-07-09,1310000000.0,3245.52,3245.52,3188.8,3217.95,3267.981475206858
720,2021-07-14,908950000.0,3270.09,3270.09,3250.45,3264.81,3271.842776133827
723,2021-07-19,1100000000.0,3258.87,3258.87,3236.39,3244.04,3265.105673627484
724,2021-07-20,979670000.0,3223.24,3234.8,3214.42,3232.7,3241.9258303858655
